trial,times,_right_canvas,_left_canvas,Unnamed: 4
6,0,0,1,
6,65,0,1,
6,116,0,1,
6,180,0,0,
6,244,1,0,
6,291,1,0,
6,331,0,1,
6,392,1,0,
6,460,0,1,
6,515,0,1,
6,579,0,1,
6,630,0,0,
6,673,0,1,
6,734,0,1,
6,802,0,1,
6,849,0,1,
6,904,0,1,
6,965,0,1,
6,1036,0,1,
6,1098,0,1,
6,1139,0,1,
6,1197,0,1,
6,1267,0,1,
6,1321,0,1,
7,0,1,0,
7,43,1,0,
7,107,1,0,
7,167,1,0,
7,211,1,0,
7,248,0,0,
7,317,1,0,
7,379,1,0,
7,441,1,0,
7,501,1,0,
7,558,1,0,
7,611,1,0,
7,674,1,0,
7,740,0,0,
7,796,0,1,
7,861,0,0,
7,914,1,0,
7,972,1,0,
7,1010,0,0,
7,1053,1,0,
7,1119,1,0,
7,1184,1,0,
7,1241,0,0,
7,1311,0,0,
7,1405,1,0,
7,1457,1,0,
7,1521,1,0,
7,1571,0,0,
8,0,0,1,
8,54,0,1,
8,109,1,0,
8,176,1,0,
8,247,1,0,
8,292,1,0,
8,348,0,0,
8,420,0,1,
8,478,0,1,
8,540,0,1,
8,605,0,1,
8,669,0,1,
8,717,0,0,
8,786,0,1,
8,842,0,1,
8,886,0,1,
8,933,0,1,
8,1010,0,1,
8,1058,0,1,
8,1119,0,1,
8,1156,0,1,
8,1194,0,1,
8,1263,0,1,
8,1327,0,1,
8,1389,0,1,
8,1450,0,1,
8,1495,1,0,
8,1550,0,1,
8,1628,0,1,
8,1688,0,1,
8,1749,0,0,
8,1807,0,1,
8,1871,1,0,
8,1924,0,1,
8,1999,1,0,
8,2065,0,0,
8,2103,0,0,
8,2159,0,0,
8,2200,0,0,
8,2260,0,1,
8,2317,0,1,
8,2386,0,1,
8,2446,0,0,
8,2509,0,1,
8,2577,0,1,
8,2619,0,1,
8,2661,0,1,
8,2712,0,1,
8,2777,1,0,
8,2843,1,0,
8,2890,1,0,
8,2930,0,0,
8,2977,0,1,
8,3044,0,1,
8,3099,0,0,
8,3170,1,0,
8,3234,0,1,
8,3279,1,0,
8,3330,0,0,
10,0,0,1,
10,43,0,1,
10,135,0,0,
10,208,0,0,
10,267,1,0,
10,338,1,0,
10,406,1,0,
10,466,0,0,
10,534,0,1,
10,600,0,1,
10,666,0,1,
10,736,0,1,
10,807,0,1,
10,846,0,1,
