trial,_right_canvas,times,_left_canvas,Unnamed: 4
6,0,0,1,
6,0,74,1,
6,0,128,0,
6,1,188,0,
6,0,247,1,
6,0,301,1,
6,0,360,1,
6,0,420,1,
6,0,476,1,
6,0,531,1,
6,0,592,1,
6,0,648,1,
6,0,706,1,
6,0,769,1,
6,0,827,1,
6,0,881,1,
6,0,941,1,
6,0,998,1,
6,0,1075,1,
6,0,1129,1,
6,0,1192,1,
6,0,1251,1,
6,0,1309,1,
6,0,1367,1,
6,0,1436,1,
7,1,0,0,
7,1,72,0,
7,1,133,0,
7,1,191,0,
7,1,247,0,
7,1,299,0,
7,0,357,0,
7,0,411,0,
7,1,472,0,
7,1,539,0,
7,1,603,0,
7,1,663,0,
7,1,721,0,
7,1,778,0,
7,1,835,0,
7,1,894,0,
7,1,949,0,
7,1,1007,0,
7,1,1077,0,
7,1,1134,0,
7,1,1193,0,
7,1,1251,0,
7,1,1325,0,
7,0,1397,0,
7,1,1470,0,
8,0,0,1,
8,0,61,1,
8,0,139,1,
8,0,197,1,
8,0,254,1,
8,0,310,1,
8,0,369,1,
8,0,430,1,
8,0,487,1,
8,0,551,1,
8,0,607,1,
8,0,660,1,
8,0,722,1,
8,0,775,1,
8,0,834,1,
8,0,892,1,
8,0,950,1,
8,0,1005,1,
8,0,1081,1,
8,0,1140,1,
8,0,1193,1,
10,1,0,0,
10,1,63,0,
10,1,119,0,
10,0,175,0,
10,1,231,0,
10,1,294,0,
10,1,356,0,
10,1,417,0,
10,1,474,0,
10,1,534,0,
10,1,592,0,
10,1,651,0,
10,1,706,0,
10,1,760,0,
10,1,822,0,
11,0,0,1,
11,0,64,1,
11,0,121,1,
11,0,174,1,
11,0,238,0,
11,0,300,1,
11,0,359,1,
11,0,431,1,
11,0,491,1,
11,0,552,1,
11,0,612,0,
11,1,673,0,
11,1,730,0,
11,1,787,0,
11,1,840,0,
11,1,902,0,
11,1,955,0,
11,1,1014,0,
11,1,1067,0,
12,0,0,1,
12,0,81,1,
12,1,133,0,
12,0,187,0,
12,0,241,0,
12,0,298,1,
12,0,357,1,
12,0,418,1,
12,0,475,1,
12,0,529,1,
12,0,591,1,
12,0,653,1,
12,0,711,1,
12,0,773,1,
12,0,829,1,
12,0,886,1,
12,0,942,1,
12,0,998,1,
12,0,1058,1,
12,1,1117,0,
12,1,1175,0,
12,1,1233,0,
12,1,1292,0,
12,1,1353,0,
13,0,0,0,
13,0,58,0,
13,0,119,0,
13,0,175,1,
13,0,231,0,
13,0,287,0,
13,0,339,0,
13,0,395,0,
13,0,452,0,
13,1,507,0,
13,1,567,0,
13,1,625,0,
13,1,680,0,
13,1,739,0,
13,0,798,0,
13,1,855,0,
13,1,912,0,
13,1,972,0,
13,1,1033,0,
13,1,1092,0,
13,1,1154,0,
13,1,1207,0,
13,1,1269,0,
13,1,1330,0,
13,1,1387,0,
13,1,1450,0,
