trial,times,_right_canvas,_left_canvas,Unnamed: 4
6,0,0,0,
6,43,1,0,
6,91,1,0,
6,137,1,0,
6,183,0,1,
6,225,0,1,
6,272,0,1,
6,317,0,1,
6,358,0,1,
6,403,0,1,
6,444,0,1,
6,488,0,1,
6,532,0,1,
6,573,0,1,
6,616,0,1,
6,657,0,0,
6,702,0,1,
6,749,0,0,
6,794,0,0,
6,841,0,0,
6,882,0,0,
6,924,0,1,
6,968,0,1,
6,1019,0,0,
6,1064,0,0,
6,1114,0,0,
6,1159,0,0,
6,1207,0,1,
6,1252,0,1,
6,1299,0,1,
6,1338,0,0,
6,1386,0,1,
6,1429,0,1,
6,1474,0,1,
6,1518,0,1,
6,1560,0,1,
6,1607,0,1,
6,1649,0,1,
6,1690,0,1,
6,1731,0,1,
6,1774,0,1,
6,1819,0,1,
7,0,1,0,
7,46,0,0,
7,90,0,0,
7,143,0,0,
7,190,0,0,
7,240,0,0,
7,285,0,0,
7,331,0,1,
7,376,0,1,
7,424,0,1,
7,471,0,0,
7,520,0,1,
7,564,0,1,
7,610,0,1,
7,656,1,0,
7,700,1,0,
7,743,1,0,
7,788,1,0,
7,832,1,0,
7,875,1,0,
7,921,0,0,
7,966,1,0,
7,1010,1,0,
7,1054,1,0,
7,1118,1,0,
7,1174,1,0,
7,1229,1,0,
7,1283,1,0,
7,1344,1,0,
7,1402,1,0,
7,1461,1,0,
7,1515,0,0,
7,1573,1,0,
7,1625,1,0,
7,1675,1,0,
7,1731,1,0,
7,1785,1,0,
7,1833,1,0,
8,0,0,1,
8,37,0,1,
8,77,0,1,
8,115,0,1,
8,154,0,1,
8,191,0,1,
8,228,0,1,
8,267,0,1,
8,306,0,1,
8,344,0,1,
8,380,0,1,
8,417,0,1,
8,455,0,1,
8,495,0,0,
8,532,0,1,
8,571,0,1,
8,609,0,1,
8,663,0,1,
8,709,0,1,
8,749,0,1,
8,788,0,1,
8,829,0,1,
8,868,0,1,
8,907,0,0,
